buoc,loss_train,learning_rate,giay_moi_buoc,token_moi_giay
7050,1.4867934882640839,0.0007,1.4439998458800256,13673.311708677598
7100,1.309229552745819,0.0007,1.3994671278199895,13975.00492238475
7150,1.4133189022541046,0.0007,1.3998402713199902,13987.438710801423
7200,1.358386516571045,0.0007,1.4140293298200048,13941.408133669607
7250,1.3560988306999207,0.0007,1.3963720590799857,13998.761915129597
7300,1.3785160779953003,0.0007,1.4046662553200076,13974.778653401881
7350,1.4044824540615082,0.0007,1.3977250681000077,14039.513526558529
7400,1.473521649837494,0.0007,1.4231646139999794,13848.278551985053
7450,1.4166652858257294,0.0007,1.4198150911199992,13834.393029662398
7500,1.3868462145328522,0.0007,1.3995520563600075,14014.669844445296
7550,1.4730656147003174,0.0007,1.417050625619995,13873.971504298377
7600,1.3410809636116028,0.0007,1.3911222767800064,14066.326394609596
7650,1.505195438861847,0.0007,1.405183823280022,13998.396276783882
7700,1.404959887266159,0.0007,1.4218863715399856,13881.179533792973
7750,1.4384368062019348,0.0007,1.3909777678400133,14019.246353794271
7800,1.372243344783783,0.0007,1.4080471193799895,13964.191772685808
7850,1.3919374346733093,0.0007,1.4124382526599948,13929.387683283076
7900,1.3981965482234955,0.0007,1.3989224070599813,13998.603425872745
7950,1.2811245620250702,0.0007,1.3953522538800098,14029.86231294929
8000,1.3567985594272614,0.0007,1.407467818039986,13925.448062673342
8000,,,,
8050,1.309567630290985,0.0007,2.1843853752199722,8990.45572396874
8100,1.307580679655075,0.0007,1.4009006143599982,14007.803122397101
8150,1.4084060788154602,0.0007,1.4027482607799902,13984.291086621906
8200,1.3687313795089722,0.0007,1.401204173599981,13971.011768902046
8250,1.3324381709098816,0.0007,1.411138584520013,13950.465401451724
8300,1.3259024918079376,0.0007,1.418670017919976,13932.640959721011
8350,1.3756157755851746,0.0007,1.4196078753999972,13882.340568480646
8400,1.3438500463962555,0.0007,1.3868572918800055,14054.135284228234
8450,1.3351191580295563,0.0007,1.4002495620600166,13943.714412790614
8500,1.3640681505203247,0.0007,1.396269753279994,14005.187718249335
8550,1.3372192680835724,0.0007,1.4014651720199982,14003.687278016747
8600,1.3134580850601196,0.0007,1.4158583273000114,13935.151292731916
8650,1.3164244294166565,0.0007,1.4222339257199927,13898.290318165016
8700,1.2545894086360931,0.0007,1.405638045300002,13950.433445912346
8750,1.3836896121501923,0.0007,1.3917289609799992,14127.147275972045
8800,1.2846275866031647,0.0007,1.399306276080024,13913.665887743487
8850,1.250606656074524,0.0007,1.4077378464399954,13977.332533723782
8900,1.361545354127884,0.0007,1.3998289165199822,13992.824243619198
8950,1.3013763725757599,0.0007,1.3996290433399918,14021.558135981597
9000,1.3679122924804688,0.0007,1.4021872747999806,13949.491877103343
9000,,,,
9050,1.2998498976230621,0.0007,1.4273042762200203,13777.00629614647
9100,1.3948517739772797,0.0007,1.4071335849599926,13957.409737013986
9150,1.250071257352829,0.0007,1.4066161856599866,13973.804795071
9200,1.2629446387290955,0.0007,1.42603614216001,13836.030810631513
9250,1.392113208770752,0.0007,1.3869311294400177,14075.334806193252
9300,1.3452939987182617,0.0007,1.3989680680400125,14016.18839482988
9350,1.2603099346160889,0.0007,1.4151859543400134,13887.673163888685
9400,1.2591035068035126,0.0007,1.394190241239994,14060.95052176273
9450,1.3352329730987549,0.0007,1.4081053401199823,13973.116527150924
9500,1.2030589282512665,0.0007,1.4007449431999703,13979.889840090922
9550,1.1996386647224426,0.0007,1.383289356000023,14079.729534186972
9600,1.3058435320854187,0.0007,1.4122427225000138,13953.663691122196
9650,1.197931945323944,0.0007,1.4218827764000161,13855.58663976498
9700,1.3014744222164154,0.0007,1.4106931727000118,13891.071693849584
9750,1.2553628385066986,0.0007,1.403040576659987,14022.6878162255
9800,1.3226058185100555,0.0007,1.3892331118999937,14084.230956200036
9850,1.248437374830246,0.0007,1.401076805119992,13972.296114290062
9900,1.2440161406993866,0.0007,1.4065052617000038,13946.979463333171
9950,1.2812133431434631,0.0007,1.4005334904600022,14041.035172633461
10000,1.19005885720253,0.0007,1.4091945792999832,13938.146149949665
10000,,,,
10050,1.2397339940071106,0.0007,2.1818113308199827,8987.908222398895
10100,1.2958379983901978,0.0007,1.3939026406999984,14051.799191774086
10150,1.2949594557285309,0.0007,1.4103751708599885,13955.109538690169
10200,1.2071489095687866,0.0007,1.4001180239399764,13999.519801082357
10250,1.290878713130951,0.0007,1.400351149800008,14063.17265695288
10300,1.285148411989212,0.0007,1.3977647099400201,13978.046420157798
10350,1.2115311026573181,0.0007,1.4298730680800145,13786.916083726705
10400,1.2922556102275848,0.0007,1.3755522998599918,14146.623143286259
10450,1.237629234790802,0.0007,1.4144003289399916,13931.020515787775
10500,1.2676112055778503,0.0007,1.409583962020006,13950.556000807355
10550,1.199637085199356,0.0007,1.4060898489399916,13980.088125107377
10600,1.1956324577331543,0.0007,1.4132525786199768,13915.913048751898
